"review_title","review_text","review_star","page"
"







  
  
    Looks like new
  
","









  
  
    
  Was kind of Spectacle about buying a Renewed iPhone 8. When receiving it, it came in a generic box. iPhone looks like new and it will be a great Frist phone for my son. Would of liked if it came  with an actual apple charger and brick instead of a bootleg one.

  
","5.0 out of 5 stars",150
"







  
  
    Conditions
  
","









  
  
    
  Actually was better than expected, as it’s is renewed product, I was hoping to see some scratch or something, but it loooks brand new

  
","5.0 out of 5 stars",150
"







  
  
    DISAPPOINTMENT
  
","









  
  
    
  Purchased phone for my son for christmas when he opened it the phone was missing the sim card trey VERY DISAPPOINTED

  
","3.0 out of 5 stars",150
"







  
  
    People can’t hear me on calls.
  
","









  
  
    
  Phone works great overall save for one crucial feature: phone calls. When I attempt to call someone, I can hear them but they cannot hear me. I’ve tested all three microphones and they all work well, but for whatever reason calls still don’t work.

  
","2.0 out of 5 stars",150
"







  
  
    It was like brand new!
  
","









  
  
    
  It was in mint condition and works perfect. It came with a box and charger.

  
","5.0 out of 5 stars",150
"







  
  
    Great  Refurbished  Phone looks Brand new and even had a new screen protector on it..
  
","









  
  
    
  Great Refurbished phone good battery life just poppped my SIM card in it and it was Good to Go ..

  
","5.0 out of 5 stars",150
"







  
  
    No scratches
  
","









  
  
    
  It’s had no scratches Touch ID works great best renewed phone I bought

  
","5.0 out of 5 stars",150
"







  
  
    Do not use this seller
  
","









  
  
    
  This product did not work with my provider.  When I returned it, all I got was an email stating that I sent them a can of tuna and two pieces of black fabric.  Do not use this seller.  You will be out your money with no chance to get it back.

  
","1.0 out of 5 stars",150
"







  
  
    She likes it.
  
","









  
  
    
  She seems to like it fine.

  
","5.0 out of 5 stars",150
"







  
  
    What a great upgrade!
  
","









  
  
    
  I purchased this phone as a gift for my son who had an iPhone 5c.  His comments after using the phone 8 for a few days was, ""What an upgrade.""  He really likes the iPhone 8.  My thanks to the seller for delivering a high-quality product.

  
","5.0 out of 5 stars",150
"







  
  
    Who your buying from !!
  
","









  
  
    
  Phone itself is great looks new but It won’t let me connect to my Carrier email or connect to download apps going to get with Carrie and maybe replace with a new sims card but all in all great phone !

  
","4.0 out of 5 stars",183
"







  
  
    It stop charging.
  
","









  
  
    
  I received mine iphone on January 14th. It started really good I enjoy it, but now it's not charging. I hoping it's the charger if not I need to send the phone back and get a refund or another one.

  
","5.0 out of 5 stars",183
"







  
  
    Poop
  
","









  
  
    
  I love food

  
","5.0 out of 5 stars",183
"







  
  
    Good
  
","









  
  
    
  Good

  
","5.0 out of 5 stars",183
"







  
  
    Works well
  
","









  
  
    
  Great little device

  
","5.0 out of 5 stars",183
"







  
  
    So far, so good <U+0001F44C><U+0001F3FC>
  
","









  
  
    
  I have a week of using it and there’re no complains! I do recommend it if you want to save some money and have a good phone!Only complain is that 1 week after I receive it, the price dropped a lot <U+0001F616>

  
","5.0 out of 5 stars",183
"







  
  
    We are happy with the service and the iPhone. No complaints!
  
","









  
  
    
  This is a replacement for an older iPhone which could not be updated to support pairing with an Apple Watch.  With the help of a smart granddaughter we were able to set everything up and pair the new watch. I’m happy with the watch and the company that sold it.

  
","5.0 out of 5 stars",183
"







  
  
    Happy
  
","









  
  
    
  Screen has much more than just “a few small cosmetic imperfections.”  But overall I am very happy with my purchase and want to express how happy I am to be back on an iPhone (I was using a cheap droid in the interim).  I love you Amazon, we don’t say it enough... Cheers.

  
","4.0 out of 5 stars",183
"







  
  
    Disappointing experience
  
","









  
  
    
  The battery overheated in my pocket and burnt the phone...

  
","1.0 out of 5 stars",183
"







  
  
    DO NOT ORDER
  
","









  
  
    
  No good don’t order if you want a phone that actually works<U+0001F44E><U+0001F3FD><U+0001F6AB><U+0001F6D1>.Received my phone and it’s still under the owner's Apple ID. A waste of my time. So I bought it as a gift for someone they opened it and tried use it, and it doesn’t even work. They wouldn’t even replace it.

  
","1.0 out of 5 stars",183
"







  
  
    Incomplete iPhone
  
","









  
  
    
  The iPhone was sent without a complete charger, only a cable, but not the power supply that plugs into 110 volt wall socket.  My email reporting this problem was not satisfactorily answered .  I am using a charger from another iPhone now .When I ordered this iPhone I reasonably expected it to be complete.

  
","1.0 out of 5 stars",104
"







  
  
    The most important to know about this phone that it works.
  
","









  
  
    
  It looks good, with a few scratches.so far so good I haven’t notice any problem.

  
","4.0 out of 5 stars",104
"







  
  
    Great Phone
  
","









  
  
    
  Works just as expected.  Great phone and a great seller.  Highly recommended.

  
","5.0 out of 5 stars",104
"







  
  
    Not a bad buy for the $$
  
","









  
  
    
  A good used phone for the $$. Did not come with original charge block. In fact it came with an LG charge block. Other than that, it’s fantastic. Would have liked some apple stickers but that’s just being too picky. <U+0001F61C>

  
","5.0 out of 5 stars",104
"







  
  
    Gave a feeling of new purchase!
  
","









  
  
    
  It was great packaging with a charger and a chord. Very clean. Gave a feeling of new purchase.What I didn't like:  When opened, battery was almost at 0%.  There was no indication that the phone was GCM unlocked. (I had purchased GCM unlocked).

  
","5.0 out of 5 stars",104
"







  
  
    Don't Buy This
  
","









  
  
    
  I spent $200+ for a phone that doesn't even work, said it was stolen or that they want me to pay it off, don't trust this company or what they sell, it's NEVER worth it.

  
","1.0 out of 5 stars",104
"







  
  
    Camera Doesn't Work
  
","









  
  
    
  My phone broke so I bough this one to get a quick replacement that's affordable. But I the camera does not work. It will open up and show what you're trying to take a picture of for a few seconds and then freeze and go black. Don't waste your money, chances are your will have something broken as well.

  
","1.0 out of 5 stars",104
"







  
  
    You sell products bought from another country !!!
  
","









  
  
    
  The product sold I got a phone that was purchase in japan! Apple told me to get total refund ! Why the hell you sell things from out the states !

  
","1.0 out of 5 stars",104
"







  
  
    good working phone to any carrier unlocked
  
","









  
  
    
  minimal side scratches clear perfect screen worked with my verizon carrier and battery is more like at a 70% but still works really good for it’s price :)

  
","5.0 out of 5 stars",104
"







  
  
    Like new
  
","









  
  
    
  Brought this phone for my son and he loved it. It was red with no scratches pretty much like new. The phone had better updates vs his older iPhone he was able to do a lot more on his iPhone 8

  
","5.0 out of 5 stars",104
"







  
  
    The truth
  
","









  
  
    
  When I got the phone it honestly looked pretty new to me. No scratches or dents. Everything worked perfectly fine. It came with a charger cable and box.

  
","5.0 out of 5 stars",59
