"review_title","review_text","review_star","page"
"







  
  
    Satisfied costumer
  
","









  
  
    
  Very satisfied with the item. Looks new to me

  
","5.0 out of 5 stars",188
"







  
  
    Super!
  
","









  
  
    
  I thought I was going to be played and something terrible but it really exceeded my expectations

  
","5.0 out of 5 stars",188
"







  
  
    Love my new phone
  
","









  
  
    
  Best camera ever

  
","5.0 out of 5 stars",188
"







  
  
    Good condition
  
","









  
  
    
  Love it

  
","5.0 out of 5 stars",188
"







  
  
    I love the iPhone x
  
","









  
  
    
  Nothing

  
","5.0 out of 5 stars",188
"







  
  
    Great seller!!!
  
","









  
  
    
  <U+0001F4AF><U+0001F4AF><U+0001F4AF>

  
","5.0 out of 5 stars",188
"







  
  
    Bad accessories
  
","









  
  
    
  It is heating up like hell

  
","3.0 out of 5 stars",188
"







  
  
    Great
  
","









  
  
    
  Great!

  
","5.0 out of 5 stars",188
"







  
  
    Great buy !
  
","









  
  
    
  Absolutely NOTHING was wrong with the phone look & works like brand new . Great product

  
","5.0 out of 5 stars",188
"







  
  
    Good deal
  
","









  
  
    
  Exellent delivery time

  
","5.0 out of 5 stars",188
"







  
  
    Fully unlocked
  
","









  
  
    
  Was impressed that u can’t tell if this phone was used before due to its quality. Looks like new. And yes it’s fully unlocked and can use any carrier of your choice.

  
","4.0 out of 5 stars",28
"







  
  
    SCAM
  
","









  
  
    
  Phone was supposedly Unlocked. Worked for a year but now trying to switch carriers the phone has been locked by KDDI Japan. Likely due to the phone being stolen and jail token or something shady. No way to use the phone with my new carrier!! Had to waste so much money due to being swindled by this seller!

  
","1.0 out of 5 stars",28
"







  
  
    iPhone x
  
","









  
  
    
  Looks brand new.I purchased the phone and then became skeptical when I seen the very few bad reviews.My own personal experience was flawless, I received the iPhone x a day early (Tuesday)which it was due on Wednesday after I ordered it Saturday.Took it to my carrier of choice which is boost mobile who I have been with for atleast 4-5 years. iPhone x was activated with no problem. I was in and out in about 10 minutes. Definitely a great buy. Next phone will definitely be purchased from here.

  
","5.0 out of 5 stars",28
"







  
  
    Very good phone
  
","









  
  
    
  Very good phone

  
","5.0 out of 5 stars",28
"







  
  
    DO NOT BUY
  
","









  
  
    
  Pos falsely advertised phone. DO NOT BUY. Turned on the phone and it hadn’t been reset and the screen wasn’t receiving touch in certain places. I reset the phone hoping it was a software glitch and nothing changed. I’m locked out of the phone now because I can’t enter the passcode set because the screen won’t accept my inputs when I try to hit the 3.If I would have read the reviews before buying this phone, I wouldn’t of bought it. Seems like half the people who order these phones have major problems...

  
","1.0 out of 5 stars",28
"







  
  
    Great In Theory
  
","









  
  
    
  I purchased this phone and it arrived looking good as new. At first everything seemed to be functioning great but after just a day or two of light use ( I was still primarily functioning with my previous phone) It started glitching random opening and closing out of apps and doing commands within apps without me even touching the screen. Really wanted this product to be great but I didn't want to pay 500+ dollars for a phone that started off broken.

  
","2.0 out of 5 stars",28
"







  
  
    WORRIED FOR NOTHING! Bad reviews who? Idk her
  
","









  
  
    
  So I was really worried after seeing some reviews. I was so close to canceling my order after I’d placed it because I was worried. But I’m typing this out right now on my new iPhone X and I have had absolutely no issues or problems. It works great, the battery life was at 94 capacity, no scratches at all. Clean. Honestly, I was so riddled with anxiety, but I was worrying for nothing. I know everyone’s experiences are different, but mine was amazing. I encourage anyone to buy from this seller.

  
","5.0 out of 5 stars",28
"







  
  
    Overall great phone
  
","









  
  
    
  The phone is in excellent condition, I’m just slightly disappointed at the battery life and how it’s recommended that I get it serviced because even when it is fully charged, it’s is only running at 79%. So if I am supposed to have 16 hours of battery life, I only have about 12 and a half hours!

  
","4.0 out of 5 stars",28
"







  
  
    Highly Recommended!
  
","









  
  
    
  First of all, It arrived earlier than I expected, and they made sure the item was headed in our hands instead of leaving it at the door. Good service! Secondly and importantly, the phone works very well, the battery life of it is at 89% which is more than acceptable. However, there are some scratches on the screen and the side but it's just a little bit, it doesn't bother me much when I operate the phone. Overall, I'd give it 10/10! Thank you Amazon renew!

  
","5.0 out of 5 stars",28
"







  
  
    Worth the money
  
","









  
  
    
  Phone was easy to transfer info. Quickly made phone calls and texts. It was practically new. Battery was in 10% when delivered. Phone was in pristine condition.

  
","5.0 out of 5 stars",28
"







  
  
    Feedback
  
","









  
  
    
  Love it!

  
","5.0 out of 5 stars",198
"







  
  
    A+
  
","









  
  
    
  Phone is in excellent condition.

  
","5.0 out of 5 stars",198
"







  
  
    N/a
  
","









  
  
    
  Good

  
","5.0 out of 5 stars",198
"







  
  
    I don’t know
  
","









  
  
    
  The thing I disliked is that it didn’t come with earbuds

  
","3.0 out of 5 stars",198
"







  
  
    :)
  
","









  
  
    
  Phone works perfectly couldn’t be happier

  
","5.0 out of 5 stars",198
"







  
  
    Worth
  
","









  
  
    
  Not bad

  
","4.0 out of 5 stars",198
"







  
  
    good phone
  
","









  
  
    
  Good phone

  
","5.0 out of 5 stars",198
"







  
    Excelente!
  
  
","









  
    
  Satisfecho con la compra. Sin problemas funcionando acá en El Salvador.

  
  
","5.0 out of 5 stars",198
"







  
  
    Terrible
  
","









  
  
    
  Didn’t work

  
","1.0 out of 5 stars",198
"







  
  
    Great
  
","









  
  
    
  It's fast

  
","5.0 out of 5 stars",198
"







  
    Celulazooo
  
  
","









  
    
  Buen cel

  
  
","5.0 out of 5 stars",104
"







  
  
    iPhone X 64GB
  
","









  
  
    
  Phone came with cracks on the screen and damaged on the side  and phone want get service seller should let people know before they purchase this item.  The phone should have been cheaper

  
","2.0 out of 5 stars",104
"







  
  
    Noticeable scratches/Defective
  
","









  
  
    
  I received a defective iPhone. It jumped from app to app on its own. Called people randomly. Just be careful when purchasing online.

  
","1.0 out of 5 stars",104
"







  
  
    Great phone, Poor battery
  
","









  
  
    
  Phone was in excellent condition. My only complaint is that the battery life was at 81%. I’ve had a 8 plus for 4 years and the battery is still at 82%.

  
","5.0 out of 5 stars",104
"







  
  
    Decent Deal
  
","









  
  
    
  Delivered as represented.

  
","5.0 out of 5 stars",104
"







  
  
    Worth it!
  
","









  
  
    
  No nicks or scratches. Looks brand new and works perfectly. I updated from the 6s plus and so happy I did.

  
","5.0 out of 5 stars",104
"







  
  
    Works well. 85% battery life when received.
  
","









  
  
    
  I was expecting 80% and was surprised with 85%life

  
","5.0 out of 5 stars",104
"







  
  
    Slightly disappointed
  
","









  
  
    
  The box was opened  and some imperfections on the screen.  Despite that the iphone  works well.

  
","3.0 out of 5 stars",104
"







  
  
    Excellent product and price
  
","









  
  
    
  Works, looks and feels like new. Would recommend refurbished phones from this company to anyone.Great product incredible value

  
","5.0 out of 5 stars",104
"







  
    Excelente
  
  
","









  
    
  Impecable, superando expectativas

  
  
","5.0 out of 5 stars",104
"







  
  
    Like new, no scratches!
  
","









  
  
    
  This phone is in great shape. Almost perfect condition. Battery life is at 91% no scratches On screen. Little tiny scuff mark on the side. Would buy again.

  
","5.0 out of 5 stars",147
"







  
    Fue una compra mala
  
  
","








  Your browser does not support HTML5 video.

   Esta danado y no eh podido aún revolverlo por la pandemia necesito ayuda para extender la devolución

  
  
","1.0 out of 5 stars",147
"







  
  
    Good phones
  
","









  
  
    
  Super fast delivery USPS delivered 2 days ahead of schedule! Phone is perfect

  
","5.0 out of 5 stars",147
"







  
  
    Iphone in perfect condition
  
","









  
  
    
  This is the first time that I have ordered a refurbished phone, and I'm happy and relived to say that it is in perfect working condition, and looks like new. I would do it again.

  
","5.0 out of 5 stars",147
"







  
  
    NOT as shown
  
","









  
  
    
  Face Id did not work, Animoji did not work camera went black sometimes

  
","1.0 out of 5 stars",147
"







  
  
    Good price
  
","









  
  
    
  Phone is unlocked it was a little dirty but still a great deal

  
","5.0 out of 5 stars",147
"







  
  
    Reputable seller!
  
","









  
  
    
  My son needed a phone quick and that is just what we got! He loves his new Iphone X and received it very fast!

  
","5.0 out of 5 stars",147
"







  
  
    Great phone
  
","









  
  
    
  It was a great product to purchase

  
","5.0 out of 5 stars",147
"







  
  
    No charger and Speaker messed up
  
","









  
  
    
  On others people End they claim they cant hear me and Alot of static I sent back and would like a Refund !!

  
","3.0 out of 5 stars",147
"







  
  
    Works better then new
  
","









  
  
    
  Refurbished but works better then brand new! Would highly recommend

  
","5.0 out of 5 stars",147
"







  
  
    Unresponsive right side of the screen. :(
  
","









  
  
    
  So the iPhone did come some scratches but i expected that considering it is a Refurbished phone plus I was gonna put a case on it. For some reason the right side is unresponsive to my touch unless i press very hard. I wasn't gonna return it considering i did like the product but i thought about the problems it'd bring me down the line. I'm kind of sad but I'm just gonna go ahead and return to get a new and unused iPhone. Of course my experience could be different from others.

  
","3.0 out of 5 stars",20
"







  
  
    Plenty of Memory
  
","









  
  
    
  The phone arrived on time and more or less exactly in the condition it said it would be in. Minor wear and tear on the cover, (which I will never see once I bought a case for it). The battery life is really good and the main reason I bought it, it has plenty of memory.

  
","4.0 out of 5 stars",20
"







  
  
    Like brand new
  
","









  
  
    
  Great product no scratches no cracks just like new easily connected to metros phone service had it for about six months now still works great

  
","5.0 out of 5 stars",20
"







  
  
    Very nice phone
  
","









  
  
    
  I was rather leery of buying this phone, am delighted to report that I am extremely pleased with it. Super easy to just switch the SIM card from my old phone to this one, and, presto change-o, a lovely new phone for me. It works perfectly. I am very happy with it.

  
","5.0 out of 5 stars",20
