ASIN,date_info,name,title,content,rating
B089WZZ33C,Reviewed in India on 15 October 2020,Sarang T.,Tailor-made For my house!,"More than anything, the compact dimensions with a 7 kg capacity was the thing why I chose this machine. As you can see from where I've placed it, space was the main driving factor for me and I can say this one proved to be tailor-made for my house. Coming to the operation, it's been hassle-free till now and functions silently without any fuss, precisely what you expect from a washing machine so I have to say I'm happy! Full marks to the design and ease of use!",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 14 September 2020,dinesh Easwaran,Superb machine,Fantastic product..good looking and has been almost a month of heavy duty usage works like a charm..can't be any better,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 3 November 2020,Keegs,Super Washing Machine,One of the reasons I purchased this washing machine was because of the dimensions. My building staircase is narrow. The washing machine is sleek and super silent. It does not have a soak function. Washing of clothes is above par and gives really clean clothes post wash. Perfect for a family of 4. I'm using this washing machine for less than a month. Got it during the Amazon Sale.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 5 February 2021,Sumit pathak,okay.,"so , i ordered thai product after seeing the description that says it has air dry and eco wash so i ordered the product right way but my expectations got shattered when the Panasonic installation guy told me that thia machine is not what i have purchased and lack features that i want . so i called up Amazon immediately and guy talked to them as well and told d issue . so i asked him to pack the stuff as it was delivered and kept it intact so that i can get a new one as a replacement .. Amazon asked me to get a job sheet from that guy which he refused right way stating that he has not provided any demo so he cant give me job sheet . After a long call sessions with amazon and Panasonic for close to a week .I lost my cool and asked to them to get it replaced asap .. After which Amazon took this iaaue on priority basis and my amt was refunded same day ... i give a thumbs up to amazon for solving this issue .. and thumbs down for misleading advertising on website as after confirming Panasonic they stated that this model dont have any airdry or eco wash .. so pls beware if u are ordering anything which is mismatched from what is mentioned on site .. and get it returned .. DON'T SETTLE FIR LESS ...",3.0 out of 5 stars
B089WZZ33C,Reviewed in India on 17 March 2021,Kpankaj,"Excellent, Compact Machine","As another reviewer pointed out, this is probably the most compact 7kg top-loader automatic available, which was the primary reason why we bought this. The bonus: it turned out to be a great machine as well; looks good, great build quality, low noise, and does the job efficiently. Also, the installation was done virtually an hour after delivery, so full marks for that!. I guess most machines in this range are pretty much the same in terms of features; the only differentiators will be longevity, and the quality of the after sales service. Time will tell on these points...",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 18 October 2020,Amit Sharma,Superb compact machine for small families.,"This machine is perfect for small families. For us with 4 members,we need to run it once in two days. Has the basic functions of wash and dry. Howsoever,it would have been better if the manufacturer could have provided a soak function as well. This would certainly have been a welcome move without adding any technological complication for the manufacturer.. Cons:. If you accidentally select a mode and start washing the clothes option, then the machine will completed cycle and then only stop. Perhaps should be user intervention to stop it or to reset it. Apart from this I am totally satisfied with the product, cloudtail India delivered the product in pristine condition. It was a very good deal at 15k.",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Soma Roy,Clothes get tangled every time for every wash. Too much lint on woollens after wash.,"Buttons not so easy or user friendly. Everytime you need to choose the type of wash you want. Difficult to use for aged people with poor eyesight. There is no Bydefault setting, like just press power button and start for regular wash.. Too much lint on clothes specially woollens. Every time I have to clean the lint trap before a laundry.. Machine wobbles quite a bit during drying cycle.. The water out pipe is on the right but our house setting needs it to be on the left of the machine. Our technician could not fix the water outlet pipe on the left side. He said it can not be done.. The only good thing is the soft close lid and auto start feature.",2.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 January 2021,Guru,"Good quality, hard to operate, not a smart washing machine.","Quality is good. But operation was little difficult. The person came for demo had very less knowledge, he didnt even assembled the bottom plate came with the machine.. Previously i had LG which is very easy to operate and 7kg mentioned but the tub room seems lesser than my 7kg LG washing machine.. When i start rinse option it initially spins, i dont know why. Because i filled half tub water and selected rinse, but it drains that half tub of water before rinsing.. Many such minor issues in it.",4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 27 September 2020,Jyoti Panchal,No inspection done before dispatch/ delivery,Found dent and scratches on the body,2.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 January 2021,Mohd. Naushad,Value for money,"After researching so much I went for Panasonic washing machine mainly for the reason of after sales and service.. The package itself delivered in 10 days and installed on the same day of delivery.. Everything is great with this machine accept of size of tub in comparison of IFB and Bosch. There is no noise or tangling of clothes issue, the washing is also very clean and economic",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 January 2021,Gk Menon,Excellent purchase!,Sleek body. Slow falling lid. Effortless installation. Excellent wash. Dint charge a penny extra for installing. Best in market,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 10 March 2021,AmazonCustomer,Low noise smooth operation,"Machine seems to be built to last. Noise made while the dryer runs, is low compared to my older LG machine. It looks very elegant too. Washing performance is fine. Installation was done professionally. Overall happy with the purchase except for the occasional dip in price below what I paid for.",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 October 2020,Nihon,Worth the spend!,So far so good. Works fine. Seems to be robust. Gives desired results. Happy with the performance. Worth the money spent on purchase. Hope it lasts long and offers far more value over the next several years.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Rstar,Looks stylish,"I got this washing machine at 15,600 rs from Amazon and the offline market price was 20,500. Right now its the best washing machine in 7kg top load automatic variants so go for it its amazing and you'll also get the soft lid closing feature in this but not in other washing machine at this price.",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 November 2020,PDSHARMA69,Washing Machine I Love,Washing quality is very good. Noise level is low. Easy to operate.. We like smart start feature. Installation was done promptly. Technical expert gave excellent demonstration.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 23 September 2020,Vinay Kumar,Nice one. We satisfied with fully automated within this budget.,Nice one for mini family 4 members. If your family is big then go for 8 or 9 kg.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 8 February 2021,Dibyendu Das,Japanese technology always ahead.,"Very much satisfied with machine,. Great looking and very convenient. Good finishing.",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 28 September 2020,Gautam,Great machine,"Big machine, works well for blankets, clothes, etc happy with the machine",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,SB,"Great , easy to use, sleek machine",Its a wonderful machine which made my life easy. It has many programs which makes washing clothes an easy task. It has options by which we can only spin or wash clothes. There are different time options. The delay option is also new one for me. Besides there is a tumbler clean option. Overall a great machine by Panasonic.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 12 December 2020,Vijay,Good machine value for money,Good machine for family of 4 and less noize truly automatic,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,She-Who-Must-Not-Be-Named,Good budget washing machine,It's a great budget-friendly washing machine from Panasonic. What's more to say? Panasonic has never disappointed me so far. Go for it.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 March 2021,Nikhil Sharma,Nice and efficient product 👍,"I have received this product couple of weeks ago, machine is working fine,almost zero noise level,and has very low vibration. But one thing was missing in machine was that we haven't received the flap cover for dryer,which is usually provided by companies. What is the procedure to receive the flap cover of dryer?. Please do let me know.",4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 21 November 2020,Amazon Customer,Awesome Machine,It's an amazing washing machine. Works like a charm. Almost to dry. Clean washing. Super quiet and less vibrations. Highly recommend this product.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 October 2020,Nehi,Panasonic automatic top load washing machine,Occupies small space. Functionally excellent. More user friendly than front load as you don’t bend your back to use it,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 17 March 2021,Sanjay Kumar,Excellent Machine.. Value for Money.,Excellent Washing machine. This is second machine from panasonic we purchased. First we purchased in 2014 and still running absolutely flawless. No issue. After purchase installation was also done quickly within 4 hrs after delivery. Real value for money.. Excellent machine. Full Marks.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Shubham Moon,Good One At This Price.,Noise level is not bad but not ok i hope in future panasonic improve very well at this type of problems and of course value for money if you want this product under 16000rs you should buy this product.,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 8 February 2021,meena,Original japan product.,Good I have purchased three machines. All are good .using since 4 month no complaints.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 November 2020,Aaron Wayne,Value for money!,Vibrations are very minimal. Good delivery by Amazon. And good installation and demo from the Panasonic team. Completely satisfied with the product.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 22 November 2020,Rajeev Goel,Value for money.,Awesome washing machine. No complaints. Panasonic installation / demo was completed immediately after delivery by Amazon. Delivery by Amazon was earlier than planned delivery.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 26 March 2021,Thomas kutty M V.,Check it up with this model.,Detergent and fabric conditioner together. along with water to the drum. So far we used 3 times including demo. It should drain in last lap of rince.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 14 November 2020,nik,Super compact,Always go for automatic instead of semi,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Sharath,A good machine,We found it to be a very good machine in the first few weeks.,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 January 2021,Anoop Sharma,Good lightweight Washing Machine,"Good lightweight Washing Machine, Motor refinement is good, with low noise levels",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 22 March 2021,VIJAY,Highly recommended at this price,Loved the product...very convenient and easy to use ..just throw clothes and detergent the machine will do the rest...and even shut off automatically...alos the machine looks are really good...,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,inbaraj,Good product,It's very good product. Value for money. stain fully removed. More water saving machine. little noise...,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 5 February 2021,Anwar Hussain Nawab,Value for money!,"Good Japanese product, very low noise during operation and less power consumption. Overall value for money!",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 23 February 2021,Charanjeev Bhambri,Worth Buying. Excellent service by Panasonic!!!,Excellent Product. Best service by Panasonic. Within three hours after delivery Panasonic guy came for installation. Happy with the performance of this washing machine. Worth buying!!,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Anita,Value for money.,"I use it twice a day, it is working perfectly ,so I can say it is value for money.",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 13 March 2021,Amazon Customer,OK Product.,It's just a time pass product. I will never suggest anyone to purchase the same. It would be best to go for the front load option that too with the brand such as IFB/LG/Samsung.,2.0 out of 5 stars
B089WZZ33C,Reviewed in India on 17 March 2021,Amazon Customer,Good Product,I am impressed tq panasonic,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 October 2020,pravin kumar,Nice product,Excellent product. Happy with it. The product is reasonably priced in the category.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 January 2021,Sony,Worth for the money,I think Panasonic is doing well with their washing machine. It looks smart & working intelligently. I brought for 12k from amazon so for me it is worth for the money.,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 November 2020,farheen khan,Go for it,It is a great product. Panasonic never dissapoints.,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 November 2020,Surender Mitra,Value for money,Good,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Pravin Patil,Prize issues,Only pricing is varying at the time of placing order,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Hemanth kumar reddy,Good product,Good product value for money,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 22 March 2021,Ramya Sri.N8083,Vàlue for money,Really amazing machine value for money iam using it from three months. I made it right choice.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 November 2020,Amazon Customer,Gets the work done,Nice washing machine at an affordable price.,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 3 November 2020,Neena,Best washing machine,High performance. Quiet and easy to use,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 22 November 2020,Mundodiyil,Good product,I am using this machine for the last one month. It is very good. Value for money.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Theresa,Best Washing Machine,I really loved the product.. The noise is least compared to others.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Sreenidhi,Worth buying,Very nice performance! No noise ... And gives a perfect wash happy with this product,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 17 March 2021,Xavier Varghese,Excellent product. Thank you Panasonic,"Its very good product, very low noise, and value for money.",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 October 2020,kumaraguru,Compact and smart performance,Last one week we are using and the performance is really good. It looks compact and performance is good.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Sumeet Sharma,Good machine,Good,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Syed ,Bottom stand is necessary to reduce vibration and avoid water damage on the body.,You can't get more in such a economic price range.. Perfect for the family of three or four.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Princy Rahul Chanani,Must Buy,Excellent product.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 20 November 2020,Sandeep Singh,"Good product, we can consider",It been one month and it is working fine. Smallest size which fits in dedicated area.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,Rajeev V.,Awesome product,Nice product. Less noice. Features are good. Best in its price range.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Amazon Customer,A GOOD BRAND,Length of inlet and outlet pipe would be more than a meter.. others are good.,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 22 October 2020,Mohammed parwez,Good washing machine,"Smooth and quality washing machine, it’s really silent, I have user it for 21 days now",5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 8 February 2021,Dinesh,All in all we recommend this product.,Great washing machine. Truly value for money.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 9 March 2021,Isha,A good and efficient product.,Great product at this price.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 22 March 2021,Meghalee,It’s a good one.,Until now I am happy!,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,karimun nisha,Simply good,It is simply super if you search machine for 4 members Go for it,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,9940667723,Good product.,The product is good.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Rajesh,Gud,Gud,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 March 2021,Senthik,Good Product,Good one.. Go for it...,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 25 February 2021,Naveen Singh,Value for money,Value for money & customer care service very good...,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 16 March 2021,RUDRESH KHANAPUR,VFM Panasonic washing machine,Value for money Panasonic washing machine.,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 13 March 2021,srimen,Fabulous,Awesome products thank you so much,5.0 out of 5 stars
B089WZZ33C,Reviewed in India on 15 January 2021,Milan,Perfect washing machine for small family,Very nice product by panasonic. Thanks amazon,4.0 out of 5 stars
B089WZZ33C,Reviewed in India on 24 February 2021,Amazon Customer,Great,Very Nice....,5.0 out of 5 stars
