"amazon_review.content","amazon_review.sentiment","accessori","amazon","bad","buy","come","custom","day","deliv","drain","dri","featur","filter","get","give","good","instal","lint","look","machin","mention","miss","money","new","one","pipe","pleas","product","purchas","qualiti","receiv","replac","return","servic","technician","time","use","wash","water","work"
"so , i ordered thai product after seeing the description that says it has air dry and eco wash so i ordered the product right way but my expectations got shattered when the Panasonic installation guy told me that thia machine is not what i have purchased and lack features that i want . so i called up Amazon immediately and guy talked to them as well and told d issue . so i asked him to pack the stuff as it was delivered and kept it intact so that i can get a new one as a replacement .. Amazon asked me to get a job sheet from that guy which he refused right way stating that he has not provided any demo so he cant give me job sheet . After a long call sessions with amazon and Panasonic for close to a week .I lost my cool and asked to them to get it replaced asap .. After which Amazon took this iaaue on priority basis and my amt was refunded same day ... i give a thumbs up to amazon for solving this issue .. and thumbs down for misleading advertising on website as after confirming Panasonic they stated that this model dont have any airdry or eco wash .. so pls beware if u are ordering anything which is mismatched from what is mentioned on site .. and get it returned .. DON'T SETTLE FIR LESS ...","negtive",0,0.146999185233386,0,0,0,0,0.0307570075238651,0.0339942403755143,0,0.0383284084752486,0.0383284084752486,0,0.153313633900994,0.0766568169504972,0,0.0281721270131956,0,0,0.0152483861473812,0.0339942403755143,0,0,0.0383284084752486,0.0322741950367429,0,0,0.0280413522277992,0.0270513155660183,0,0,0.0645483900734859,0.0359798869945898,0,0,0,0,0.0422639701905647,0,0
"Buttons not so easy or user friendly. Everytime you need to choose the type of wash you want. Difficult to use for aged people with poor eyesight. There is no Bydefault setting, like just press power button and start for regular wash.. Too much lint on clothes specially woollens. Every time I have to clean the lint trap before a laundry.. Machine wobbles quite a bit during drying cycle.. The water out pipe is on the right but our house setting needs it to be on the left of the machine. Our technician could not fix the water outlet pipe on the left side. He said it can not be done.. The only good thing is the soft close lid and auto start feature.","negtive",0,0,0,0,0,0,0,0,0,0.0622142282496789,0.0622142282496789,0,0,0,0.0354316643865637,0,0.124428456499358,0,0.0495020072030925,0,0,0,0,0,0.110358113682829,0,0,0,0,0,0,0,0,0.0551790568414146,0.058402135411508,0.058402135411508,0.0686023863962789,0.116804270823016,0
"Found dent and scratches on the body","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It's just a time pass product. I will never suggest anyone to purchase the same. It would be best to go for the front load option that too with the brand such as IFB/LG/Samsung.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112165408911197,0.216410524528147,0,0,0,0,0,0,0.287839095956718,0,0,0,0
"It's ok","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Front loading machines like Bosch are more sturdy and perform better. The drum is wider and accommodates more. Capacity is better.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131370711423592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panasonic is a west brand not trust worthy, poor service and useless brend too it's my second bad experience. Don't buy","negtive",0,0,0.330213980709834,0.292873455542893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278054603393478,0,0,0,0,0,0
"Plastic used in the machine is of very cheap quality . All the pipes drain pipe and water pipe are coming out when machine is functional . Spin tub is not working properly . There is no customer service ,we have been asking for engineer visit but there is no response from the company 😞. It's a waste of money .Amazon should take this back as we have taken the product of new companybon their goodwill .","negtive",0,0.094079478549367,0,0,0.122650907120796,0.115135638382687,0,0,0.122650907120796,0,0,0,0,0,0,0,0,0,0.0975896713432394,0,0,0.122650907120796,0.122650907120796,0,0.326344707604938,0,0.0448661635644787,0,0.108781569201646,0,0,0,0.103277424117577,0,0,0.115135638382687,0,0.115135638382687,0.103277424117577
"Best in its price range. Functioning is smooth and I am using it since couple of months now I guess. And it's good looking compared to some other machines in this price range.. The negative is its build quality which is not the worst. But it's cheap plastic or atleast it's not strong enough to last some years.. Another point is nowhere I could find the energy rating in my machine. But it is mentioned 5 stars in the website.","negtive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643364432282341,0,0,0.112967940769154,0.0898852236056152,0.100193550580463,0,0,0,0,0,0,0,0,0.100193550580463,0,0,0,0,0,0,0.106045982720896,0,0,0
"worst product to go for ...and worst customet service .. After delivery of order you will be asked for good review .however after two months itself machine will stop working and there would be no customer care number anywhere updated on google or site.. Pls dont buy this brand.only sales no service.pathetic","negtive",0,0,0,0.131288100760607,0,0.138956804944622,0,0,0,0,0,0,0,0,0.0843029256094102,0,0,0,0.0588903189140238,0,0,0,0,0,0,0,0.0541488180950605,0,0,0,0,0,0.124645167038455,0,0,0,0,0,0.124645167038455
