"amazon_review.content","amazon_review.sentiment","amazon","best","deliveri","easi","excel","good","great","machin","money","nice","price","product","qualiti","use","valu","wash","work"
"More than anything, the compact dimensions with a 7 kg capacity was the thing why I chose this machine. As you can see from where I've placed it, space was the main driving factor for me and I can say this one proved to be tailor-made for my house. Coming to the operation, it's been hassle-free till now and functions silently without any fuss, precisely what you expect from a washing machine so I have to say I'm happy! Full marks to the design and ease of use!","positive",0,0,0,0,0,0,0,0.121804955740334,0,0,0,0,0,0.0778542754979828,0,0.0660229726673793,0
"Fantastic product..good looking and has been almost a month of heavy duty usage works like a charm..can't be any better","positive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311850186877696
"One of the reasons I purchased this washing machine was because of the dimensions. My building staircase is narrow. The washing machine is sleek and super silent. It does not have a soak function. Washing of clothes is above par and gives really clean clothes post wash. Perfect for a family of 4. I'm using this washing machine for less than a month. Got it during the Amazon Sale.","positive",0.111681488912623,0,0,0,0,0,0,0.208808495554858,0,0,0,0,0,0.0889763148548375,0,0.377274129527882,0
"As another reviewer pointed out, this is probably the most compact 7kg top-loader automatic available, which was the primary reason why we bought this. The bonus: it turned out to be a great machine as well; looks good, great build quality, low noise, and does the job efficiently. Also, the installation was done virtually an hour after delivery, so full marks for that!. I guess most machines in this range are pretty much the same in terms of features; the only differentiators will be longevity, and the quality of the after sales service. Time will tell on these points...","positive",0,0,0.0846693820295774,0,0,0.0242003787983702,0.176589989049782,0.101504129783611,0,0,0,0,0.169338764059155,0,0,0,0
"This machine is perfect for small families. For us with 4 members,we need to run it once in two days. Has the basic functions of wash and dry. Howsoever,it would have been better if the manufacturer could have provided a soak function as well. This would certainly have been a welcome move without adding any technological complication for the manufacturer.. Cons:. If you accidentally select a mode and start washing the clothes option, then the machine will completed cycle and then only stop. Perhaps should be user intervention to stop it or to reset it. Apart from this I am totally satisfied with the product, cloudtail India delivered the product in pristine condition. It was a very good deal at 15k.","positive",0,0,0,0,0,0.0207431818271745,0,0.0870035398145241,0,0,0,0.0438907573987638,0,0,0,0.0943185323819704,0
"Quality is good. But operation was little difficult. The person came for demo had very less knowledge, he didnt even assembled the bottom plate came with the machine.. Previously i had LG which is very easy to operate and 7kg mentioned but the tub room seems lesser than my 7kg LG washing machine.. When i start rinse option it initially spins, i dont know why. Because i filled half tub water and selected rinse, but it drains that half tub of water before rinsing.. Many such minor issues in it.","positive",0,0,0,0.0790758646144545,0,0.0242003787983702,0,0.101504129783611,0,0,0,0,0.0846693820295774,0,0,0.0550191438894827,0
"After researching so much I went for Panasonic washing machine mainly for the reason of after sales and service.. The package itself delivered in 10 days and installed on the same day of delivery.. Everything is great with this machine accept of size of tub in comparison of IFB and Bosch. There is no noise or tangling of clothes issue, the washing is also very clean and economic","positive",0,0,0.123155464770294,0,0,0,0.128429082945296,0.147642370594344,0,0,0,0,0,0,0,0.160055691314859,0
"Sleek body. Slow falling lid. Effortless installation. Excellent wash. Dint charge a penny extra for installing. Best in market","positive",0,0.246162465958491,0,0,0.256081075084682,0,0,0,0,0,0,0,0,0,0,0.165057431668448,0
"Machine seems to be built to last. Noise made while the dryer runs, is low compared to my older LG machine. It looks very elegant too. Washing performance is fine. Installation was done professionally. Overall happy with the purchase except for the occasional dip in price below what I paid for.","positive",0,0,0,0,0,0,0,0.174007079629048,0,0,0.141749039442121,0,0,0,0,0.0943185323819704,0
"So far so good. Works fine. Seems to be robust. Gives desired results. Happy with the performance. Worth the money spent on purchase. Hope it lasts long and offers far more value over the next several years.","positive",0,0,0,0,0,0.0484007575967405,0,0,0.122441643972327,0,0,0,0,0,0.126992855212109,0,0.155925093438848
"I got this washing machine at 15,600 rs from Amazon and the offline market price was 20,500. Right now its the best washing machine in 7kg top load automatic variants so go for it its amazing and you'll also get the soft lid closing feature in this but not in other washing machine at this price.","positive",0.150340465843916,0.151484594435994,0,0,0,0,0,0.28108835940077,0,0,0.305305623413798,0,0,0,0,0.304721412310981,0
"Washing quality is very good. Noise level is low. Easy to operate.. We like smart start feature. Installation was done promptly. Technical expert gave excellent demonstration.","positive",0,0,0,0.189782075074691,0.204864860067746,0.0580809091160886,0,0,0,0,0,0,0.203206516870986,0,0,0.132045945334759,0
"Nice one for mini family 4 members. If your family is big then go for 8 or 9 kg.","positive",0,0,0,0,0,0,0,0,0,0.411386538040327,0,0,0,0,0,0,0
"Very much satisfied with machine,. Great looking and very convenient. Good finishing.","positive",0,0,0,0,0,0.145202272790221,0.529769967149346,0.304512389350834,0,0,0,0,0,0,0,0,0
"Big machine, works well for blankets, clothes, etc happy with the machine","positive",0,0,0,0,0,0,0,0.541355358845927,0,0,0,0,0,0,0,0,0.415800249170261
"Its a wonderful machine which made my life easy. It has many programs which makes washing clothes an easy task. It has options by which we can only spin or wash clothes. There are different time options. The delay option is also new one for me. Besides there is a tumbler clean option. Overall a great machine by Panasonic.","positive",0,0,0,0.230038878878413,0,0,0.128429082945296,0.147642370594344,0,0,0,0,0,0,0,0.160055691314859,0
"Good machine for family of 4 and less noize truly automatic","positive",0,0,0,0,0,0.165945454617396,0,0.348014159258096,0,0,0,0,0,0,0,0,0
"It's a great budget-friendly washing machine from Panasonic. What's more to say? Panasonic has never disappointed me so far. Go for it.","positive",0,0,0,0,0,0,0.423815973719476,0.243609911480667,0,0,0,0,0,0,0,0.264091890669517,0
"I have received this product couple of weeks ago, machine is working fine,almost zero noise level,and has very low vibration. But one thing was missing in machine was that we haven't received the flap cover for dryer,which is usually provided by companies. What is the procedure to receive the flap cover of dryer?. Please do let me know.","positive",0,0,0,0,0,0,0,0.152256194675417,0,0,0,0.0384044127239183,0,0,0,0,0.116943820079136
