date_info,name,title,content,rating
Reviewed in India on 4 November 2020,Anand,It seems like a very good buy..After 48 hrs use and some experiments..!,"Just got it..!!. Packing and the quality of the product is impressive. The buds fit snugly & securely. No chance of them flying off my ears..Can confidently use them for out door workout. Tried some western music,movies & Roobaroo( AR Rahman)..Good. Pls note, I don't have any expertise to comment on bass, pitch or timbre. But it's nice. The charging case is sturdy and pre charged. So I was able to use the buds out of the box. The buds get attached magnetically to the case and the click sound on closing the case is quite reassuring. Got paired to my Galaxy S7 immediately. With newer mobiles, the connection might be even better. Charging via C type port. Product definitely carries value for money... Concerns- Rated ?? IPX5, yet there are concerns regarding water resistance. User manual warns against using water, alchohol or liquids to clean the buds. Charging ports stick up in charging case and attach magnetically to earbuds. While wiping with alchohol, is there a chance for a short circuit since the ports are precharged..? Shall give details regarding battery backup and shock resistance (accidental drops invariably happen, esp. in my case!) in a later post. For the time being, let me dive into some true wireless music..😊. After 48 hrs use. Satisfied with the purchase... 5 hrs play time in a single charge. Fast charged again for 15 mts and got a play time of more than 2 hrs..didn't believe that one in their ads.!. Disinfected both ear buds and case with alchohol spray and it's still working.. As expected,the buds fell from my hands a couple of times and had to carry my weight twice over various furnitures. No probs..",5.0 out of 5 stars
Reviewed in India on 8 November 2020,Anita,Didn't even start to get the hang of it!!,Pairing LED light not working!. Auto pairing or even manual pairing not working.. Can't even hard reset!. Returning the item within 2 hours of delivery (And numerous failed attempts at getting them to work) due to the above issues.. Edit: Discovered that the case won't charge the buds whatsoever!. The case is dead and can't be juiced up at all!!. Waiting to see how the replacement product fares now!,1.0 out of 5 stars
Reviewed in India on 6 November 2020,Danny,Hands Down the best in 3k,"Im a music head my main purpose of buying these is im using oneplus 8 which does not have earphone jack which forced me to buy buds z, i bought these for listening to music when im traveling and playing games, coming to the review. How does the earphones look : 7/10. Case looks decent, but i like the onplus buds case cuz they have matt finish and easy to open with singlehand. What i dislike is the styling of the earphone they look simple they should have designed it better or gave more colour options and accent colours but cant complain cuz they r prised at 3k overall at this price range although they r made out of plastic they look decent. Features :. water and sweat resistance is there which is good when ur doing workouts but they r not water proof if u dump them in water just forget them they r dead.. Touch countrols this part is hilarious they have only one option which is double tap which skips a song, recive or cut calls thats it, they said they r building an app hey melody wonder when they'll make that app available for the users, oh BTW it has bt 5.0 which is nice. Comfort: 10/10. This the part i love abt these earphones they r very comfatable they r light weight and i can wear them all day man the r very comfy. Battery : 8/10. Oneplus claims 20 hrs battery with using case but i get around 15 hrs aprox with case and earphone. the earphone itself give u around 4 hrs of usage then u have to recharge them using the case. Sound quality : 8/10. As i said im a music head, i like ground shattering bass in my music. But i have mixed reaction on these buds.. Believe me bass is there and thumping but if u compare is to wired earphones like sony xb55 or sennhiser cx 275s which r my fav, these earphones produce rich and awesome bass, which oneplus buds z lacks. These tws earphones have 10mm drivers they produce very balanced crisp sound with good bass overall they perform good the highs, mids, and lows everything is good. Latency 10/10 if u have 1+ device. I play pubg alot i mean pubg kr version😉. These earphones r awesome for pubg. There is no latency at all ive tested many tws earphones but every earphone had some delay. But believe me these have 0 delay loved it and u dnt need to turn on fanatic mode. Final verdict :. at 3k i cant ask for more. build quality nd design is personal preference, for me i can live wit it no probs sound is nice but u can turn it to awesome by tweaking the eq settings, i use poweramp app to enjoy my music it has the best eq and other settings than any music app in playstore ive tweaked dolby settings in my device and eq in the music app wallah these perform awesome now im very happy with the buy, love these tws and i recommend these earphones, just go for it believe me ul love the comfort and sound quality it offers,i promise! if u want good looks u can skip but at 3k these r the best tws available in amazon",4.0 out of 5 stars
Reviewed in India on 8 November 2020,Farhan,iPhone users,"I have been using them with my iPhone 11 almost now for 5 days. The pairing process at the beginning was really frustrating. You do not know how much battery is left in the case and buds if using iPhone. Sound starts breaking in between while watching YouTube and also it bounces between the two buds for some reason!. Phone calls experience was a bit good enough but receiver complained low voice levels.. Connected them with Teams, zoom, Facetime and let me tell you it is a complete waste. Receivers always complained low volume levels on these platforms and even I had some trouble listening to them through these buds.. I would say these are better for Android users only.. Will use for couple more days and see if not, I’m planning to return.",3.0 out of 5 stars
Reviewed in India on 2 November 2020,Shashank,Amazing TWS Earphones,"the sound quality is just amazing, it fits perfectly in your ears and it doesn't fall off easily its perfect foe sports if you are into that kind of thing the battery life is pretty impressive but the one thing that I noticed is that the battery drops a little faster while on calls apart from that it is perfect and I would definitely recommend buying it.",5.0 out of 5 stars
Reviewed in India on 11 November 2020,128u31o,"From oneplus, I expected better but its just another me-too product","If your usage requirement is 75% for voice calls and 25% for some good music, then stay away from this. Cons as below,. -Does NOT have multiple device connectivity that allows me to connect to both laptop and phone at the same time, this was a very important requirement for me. -Audio quality is good, but only as good as the Boat 1 to 1.5k range of earbuds, nothing too great here. -Battery life is just about okay. -Every 5 minutes, there is a 2 sec drop and music goes off and comes back on automatically. -On voice calls, if I speak with just one ear bud on then the listener cannot hear properly. -Placing the earphone back into the case needs a bit of extra attention as more often than not I place it incorrectly (not a customer forward design). - Customization features for double-tap is poor, would have expected more options from Oneplus. With Oneplus Nord, I thought the company was moving back towards its original mission of providing great features at an affordable price, but sadly Oneplus Buds Z is just another me-too product from Oneplus. I think post the negative feedback of Oneplus Buds, the company wanted to slap on silicone eartips and reduce the price and thats what they have done here. You can get the same value at 1.5k earphones from Boat/other 4* rated brands I guess.",3.0 out of 5 stars
Reviewed in India on 2 November 2020,Shreyas Joshi,Excellent work by OnePlus. Not recommended for heavy bass lovers. Max volume limit is an issue.,"I'd rather give it 4.5 instead of 4 stars. Each and everything is just right and it's rightful credit goes to OnePlus who introduced the silicon earcups to enhance passive noice cancellation. We can toggle about how to use each of the earcups between play/pause, next/previous track and activate voice assistant. As I own a OnePlus smartphone, the moment I opened the charging case to get the buds, instantly it got connected to my OnePlus smartphone using the Quick Pair feature which is awesome. The sound quality is great and bass is good, but for heavy bass lovers, I won't suggest these buds because their sound quality is very much balanced with its treble and bass well balanced. The only thing which prompted me to give 4 stars instead of 5 was the ""maximum volume level"", which I think is very low. You cannot simply increase volume beyond a certain limit on these buds, so, if you are in a place with lots of noise around, you might not be able to listen to your music clearly.",4.0 out of 5 stars
Reviewed in India on 12 November 2020,Balagopal N Saly,dreadfull experience.,"My first pair of buds z tws had a mute issue while using,the audio mutes for 1 sec randomly while watching videos like once in every 5 minutes or 10.And then i replaced my product and the problem still persist with the new one too.Several other people are also facing this issue,they have posted it in oneplus forum.heavily dissappointed by the buds z.If you are planning on buying this.please wait till they fix this issue. Apart from this,the sound qaulity is very promising.. also if you are a non oneplus user,you cannot play games with this since the latency is very high and easily noticable.",1.0 out of 5 stars
Reviewed in India on 8 November 2020,sundar,Quality Earbuds from Oneplus! No complaints.,"Oneplus pulled off an amazing pair of earbuds that are exceptional when it comes to Sound and Convenience.. Quick Charge works like a charm, All the touch sensors works seamlessly in both android and ios devices.. Sound signature focusses on the lows without comprising on highs and mids. There's enough treble/volume for listening to music, podcasts and Meetings.. The case is so small and compact, it fits within your pals. There's also an led indicator for charging/pairing.. I haven't checked its water and sweat resistance, but an ip55 rating should provide protection against rain drops and sweat.. Solutions for common Issues addressed by other users:. For customising the touch controls there's an application for android devices called ""Hey Melody"". Its still in Beta, but you can download by searching it on google, it will redirect to the play store.. Please turn on the AAC mode under the Bluetooth settings to enhance the audio clarity for android users. By default, IOS uses AAC Bluetooth codec.. Use different eartips to get a comfortable seal around your ears. Also included in the box.",5.0 out of 5 stars
Reviewed in India on 3 November 2020,UK,Useless crap in terms of feature and option.  Audio and call quality is ok.,"Useless crap in terms of feature and option. Audio and call quality is ok.. If you sync to this to a laptop, audio control (low/high), not work, even if you're controlling in laptop.. in Mobile, only 2-3 options work, i.e one action per left/right bud.. Delivery, looks, plastic quality etc are ok and quite rigid.",1.0 out of 5 stars
