date_info,name,title,content,rating
Reviewed in India on 10 August 2020,onkar307,Brilliant,If you are looking for bluetooth earphone then you are at right place. Just go for it. pTron Tangent Lite Magnetic in-Ear wireless bluetooth headphone is best in this price segment. It also come with mic. Battery life of this earphone is pretty amazing. It has bluetooth version v5.0 . Earphone comes with magnetic earpbuds. Lighweight as well as flexible. Best bluetooth earphone in this segment.,5.0 out of 5 stars
Reviewed in India on 7 August 2020,Patel Dhrumil,pTron Tangent lite Quality is very good more than expected,"It's amazing neckband,. Quality is very good more than expected,. Lightweight and super sound with high bass,. Fast Bluetooth connectivity (~11meter). A2DP Audio Technology is super 👌😍. Again tell everyone sound is excellent 👌. 1 year warranty ♥️. Thank you so much pTron",5.0 out of 5 stars
Reviewed in India on 12 January 2021,Anand,Good quality,This product is good quality and I use Very amazing piece it is... I bought for my office work and for music playing during my free time... It's the Best!!!! Sound quality is superb with amazing bass... Noise is very clear and no background sound... Extra earpiece add boons to it... It's jus fit to my ear as if made for me... Not too harsh on ears... Battery life is super duper... It goes more than 6hrs in a run... More than it's claim.... Worth buying.... No doubt at all!!!!. Go for it guys,5.0 out of 5 stars
Reviewed in India on 16 October 2020,Mohammad Hamza,Very good product by pTron under this price range must buy its totally recommended 🔥🔥😍 ..,"I am using these pTron tengent bluetooth neckband from 3 days its superb and amazing sound quality . The thing i like the most is the price, yes! It is the best deal under this price segment must buy if anyone want to buy a new bluetooth neckband .. let's come to its features it comes with bluetooth 5.0 and yes its connection speed to good enough . Accordingg to my experience the battery life is about 6 hours and charging time is very less it charge within 1.5 hours which is enough . Based on my experience the bass is very good ☺️☺️ ofcourse it comes with 10mm drivers so the bass is just decent .. And if i talk about build quality its also decent very good quality material is used by pTron i am fully satisfied with these and last but not least the weight of these neckbandd is very light so just these are very comfortable enaough and looks prety cool 😍.. this is my honest review about this product i think anyone of you in search of buying the new bluetooth neckband then go for it these are amazing under this price segment ..",5.0 out of 5 stars
Reviewed in India on 7 August 2020,Pankaj,Look and sound congenial,"When i open the box ,i got sexy looking neckband,I can say pTron providing good products to us . Everything works perfectly like noice cancellation,bass is descent,this one is good at this price",5.0 out of 5 stars
Reviewed in India on 31 July 2020,Prince A.,Ok product not best,No bass only treble,3.0 out of 5 stars
Reviewed in India on 13 August 2020,Mohit,Total fraud misleading company product...,"Zero product, worst customer care service, product was faulty , i made the request to the ptron site, mailed them, but didn't got response even after waiting for 15 days, the number they mentioned in theri website didn't connect , not even once, and the service center is in Hyderabad, far far away from agra city, so it was a total loss of 500 indian rupees, but it provided me a lesson that don't invest in cheap products and companies , cheap will always be cheap.. Worst experience.",1.0 out of 5 stars
Reviewed in India on 6 August 2020,Rajith Thampan,Good product for this price,Bought this product on prime day for Rs 499. Overall a good product for this price.. Pro's:. Good build quality. Clear audio quality. Good battery life. Con's:. No bass at all. Sound frequency is low. Overall a good neckband to have under Rs 500 (except for the bass).,4.0 out of 5 stars
Reviewed in India on 24 February 2021,Authentic reviews and answers,"Poor product, pathetic customer support","This headphone is worthless at any given price! I purchased it on 1st Jan 2021 and on 16th Jan 2021, it stopped turning on. I tried contacting the customer support over the call and email, but nothing worked. It give me hard days to reach to the customer support. Finally I got in touch with the customer support team. They don't have any service center and you need to ship the product to their warehouse. I did ship which costed me INR 160/-. Then it took multiple followups and 3 weeks to get the replacement. The customer support team also informed now it won't get replaced. That means, if the product stops working now (even in the warranty period) I need to throw it in dustbin since no replacement is going to take place. At the end, the product costed me total 760 (600 for product and 160 for shipping). And if in case I need to get it repaired, I may need to do further expense of 160 again to ship. So at the end, you are not getting the product at 600 but more that that. Better to invest in good brand and purchase better headphone then keep wasting money.. -------. Just to add-on, the second headphone which I received are continuously getting disconnected while on call. So the money spent here was complete waste...",1.0 out of 5 stars
Reviewed in India on 17 February 2021,Ravinder,BROEKN IN TWO DAYS- and update March 21,"Well, it was broken in two days when I tried to remove it from my neck. Then I thought that I can still use it for a walk but now the plastic cover over the charging slot does not open, maybe it is fixed with glue. Shame on Amazon for selling such 3rd class stuff.. Update - Last week other side was broken as well when tried to remove it from my neck after a morning walk. This time I had to click a pic and post it. This is stillbworking though as those tiny wires are still connected but i bet won't last very long.",1.0 out of 5 stars
Reviewed in India on 4 September 2020,neha singh,"Very disappointed, buy from market if u want a good earpiece","I don't like this earphone at all, bass is missing, sound is soo sharp that it hurts ear and creates headache...im using redmi k 20 pro, so it this earpiece is not at all good for this phone...ispite of making all sound settings it is impossible to get a good sound. While calling, the receiver gets low volumes, so i prefer calling by my phone only.. Really disappointed 😭. buiyng earphone from market is a good option, atleast we can check it before buying, n can select the good one.. Wired earphone is much much much better than this tangent lite bluetooth earphone.",1.0 out of 5 stars
Reviewed in India on 9 October 2020,Chandrakant ,Extremely poor build quality....,"Don't waste your money on this brand...surely the band looks good but build quality is very cheap and terrible. My headphone only last for month before it's left ear piece stopped working. Even I tried reaching pTron Customer care, to claim warranty but after 3 weeks of back and forth emailing, I realized they never interested in providing warranty, it's their strategy to drag feet so that customer will give up after some time.. Pathetic product and even worst customer care, don't fall for attractive pricing as product is not worth half of that. You will regret buying this.",1.0 out of 5 stars
Reviewed in India on 23 August 2020,DiNu rkl,"Nice, Ruff nd tuff, worth it","Recieved on time... 1. I tested & surprised because of its Bluetooth Connectivity, 7-10 meter indoor, and 20-30meter outdoor,. 2. Bluetooth is reconnect when u are in reach.. 3. Charging time is pretty nice.. 4. Hearing sound, clarity, mic is great.. 5. Easy to handle & user friendly.. 6. Talktime around 1.5hrs to full charge.. 7. Battry standby 1 day in normal use.. Adv:-. 1. This headphone is best for talking only. Battry life is great.. Disadvantages:-. 1.Bass is zero, i heard lot of songs, but felt very bad about bass. Its not Music headphone.. My Opinion:-. For me its amazing, realy ruff nd tuff, its still running, no problem at all.. I have 2 phone nd its connect both the phone same time,. For me, i am so satisfied.. and price is worth it.",3.0 out of 5 stars
