date_info,name,title,content,rating
Reviewed in India on 19 July 2019,Genuine buyer,Pros and cons,Great quality and the sound is actually great.. Pros. 1) hd sound quality is great it has micro woffers.. 2) built quality is great wires are thick.. 3) hd calling is great my voice was clearly audible to other person on the call.. Cons. 1) sometimes earbuds hurt the ears and they might not be comfortable to some people otherwise it's a great product,5.0 out of 5 stars
Reviewed in India on 9 March 2020,CHETAN SHETTER,Never Expected in this price range... I Assure You Will Fall In Love With These Earphones,"I've been using this from past 6 months. This was the actual earphones that i was searching for.. And really had a great experience.. Specs of the earphones are great, the micro woofers deliver you great sound quality and bass. And the noise cancellation is upto the mark. Earphones never slips from the ears and you too won't allow them to as they deliver gread sound effect. Right now my earphones are not there because it was damaged by my brother.",5.0 out of 5 stars
Reviewed in India on 20 July 2019,Kiran Kumar M,"Bass bastler, Awesome HD quality sound, rocking.......",Perfect bass and nice one. Superb sound and it has noise cancellation. Simply Superb and worthy.,5.0 out of 5 stars
Reviewed in India on 10 September 2019,Fitnessinfinity,Just red hot,"A quick honest review.. Wanted a portable earphones alternate to my big headphones which sometimes gives pain to ears after constant use so thought of getting earphones as having earphones and headphones at same time is like getting better from both the world's.. Design - red variant have killer color design.. Sound- very nice even at lowest volume, you can still hear it nicely.. Bass- justify at this price range.. Treble- just equivalent to bass magnitude.. What I felt is that in this earphones bass and treble goes hand by hand , none of the one has edge over other which makes it perfect for me. Both are complimentary to each other, perfectly match.. What I didn't liked is in ear design, it pains sometimes, comes with different sizes of ear buds and rings too so you have to see which one fits perfectly.. Overall at this price range it's worth it, definitely go for it.. Edit: it's 24 September 2020, more than a year and it's still delivering music without any issues. Moreover I have purchased many earphones in between ,some in ear and some headphones, but this is still working while many have encountered issues. I have used this while riding bike under heavy rain so it's also immune to rain, mic wasn't very good from the beginning as it should not be for a calling purpose. Music is really good, seeing its overall built quality and thick wires,it's pretty obvious that that's why it still working perfectly fine without any issues.",3.0 out of 5 stars
Reviewed in India on 1 October 2019,Sri Sri Sri 108 Prasad Ji Tondare,Wait - Read This before you buy it.,"If you are a bass lover and love to listen the song in full volume then **THIS HEADPHONE IS NOT MEANT FOR IT**. The output coming out of this headset is very loud and I feel irritated after just listing one song.. I wanted to return this but my kid tore down the packaging so I cannot return it. Don't just see the rating and buy the headphone.. Quality is okay..... Pros. 1. If you looking for loud audio output, then this is the one. 2. Only voice nothing else.. Cons. 1. No Bass. 2. No clarity. Not my kind of Headset...",1.0 out of 5 stars
Reviewed in India on 21 July 2019,Deepanshi Rajput,A Bass Lover's perspective,"The company says that it has subwoofers! They do not perform even close to what subwoofers are supposed to do. I had to increase the 60 Hz Freq response by +10 Db using an EQ to get enough bass that will give a flat sounding experience. For this price point, I have seen different earphones that perform really well in the low frequency range. The mids and highs are okayish and are suitable for watching videos and movies.. About the build quality and form factor, they are well built, 3.5mm jack is angled and will last long. These are durable earphones if you take care of them. And they also provide different sizes for ear support buds.",3.0 out of 5 stars
Reviewed in India on 18 July 2019,Tushar Agarwal,Not magnetic and much different colour from images (see pics),They aren't magnetic as written in description. Also i feel go for the grey one as the red one has silver earbuds and not black as shown in images. Seems like they took the silver colour ones and put red paint on the wire. The earphones itself are decent for the price and pretty loud.,2.0 out of 5 stars
Reviewed in India on 7 October 2019,Raj Patel,Maybe buy boat basshead 100,"Here is the review after 1 week of use. Pros:. 1.Best build quality even under price range of 1000 rs. 2.Best mic and relatively better wire length. 3.Best fit in ears. 4.Good for classical music. -------------------------------------------------------------. Cons:. 1.Not the best sound quality in this price range. 2.Low end sucks. 3.Muffled bass. 4.It can't handle songs with both highs and lows simultaneously. 5.It confuses between them and the output is unexpected. 6.Cant use it for extended period and while sleeping on sides which most of the engineering students do.. 7.Not loud enough compared Sennheiser cx180,boat basshead 100,225 etc. 8.Starts crackling at highest volume.. Go for boat basshead 100 350rs if you can compromise build quality. It has the best bass quality even under 900 rs. But it wont last more than 6 months. 1.",4.0 out of 5 stars
Reviewed in India on 6 August 2020,Kiran kk,I got duplicate product,I got duplicate product.. Logo of the boult is different. Invalid warranty card. Quality of the wire is very poor. The box is totally different. The mic is very poor,1.0 out of 5 stars
Reviewed in India on 21 July 2019,Asmita Varma,Feeling cheated,"Though sound is good, i already exchanged once as the control button was not working at all. In the replacement headphone also, the control button sometimes works and sometimes doesnt. Dont buy at all.",1.0 out of 5 stars
